iter	Passed	Remaining
367	647	1112
368	648	1109
369	650	1106
370	651	1104
371	652	1101
372	653	1098
373	654	1095
374	655	1092
375	656	1089
376	657	1087
377	659	1084
378	660	1082
379	661	1079
380	662	1077
381	664	1074
382	665	1072
383	666	1069
384	668	1067
385	669	1064
386	670	1062
387	671	1059
388	673	1057
389	674	1054
390	675	1052
391	676	1049
392	677	1046
393	678	1044
394	679	1041
395	681	1038
396	682	1036
397	683	1033
398	684	1030
399	685	1028
400	686	1025
401	687	1023
402	688	1020
403	690	1017
404	691	1015
405	692	1012
406	693	1010
407	694	1007
408	695	1005
409	696	1002
410	698	1000
411	699	997
412	700	995
413	701	993
414	702	990
415	704	988
416	705	986
417	706	984
418	707	981
419	709	979
420	710	976
421	711	974
422	712	971
423	713	969
424	714	966
425	715	964
426	716	961
427	717	959
428	718	956
429	720	955
430	722	953
431	723	951
432	725	949
433	726	946
434	727	944
435	728	942
436	730	940
437	731	938
438	732	936
439	733	933
440	735	932
441	736	929
442	738	928
443	740	926
444	741	924
445	742	922
446	743	919
447	745	918
448	746	916
449	748	914
450	749	912
451	751	911
452	753	909
453	754	907
454	756	905
455	757	903
456	759	902
457	760	899
458	761	897
459	762	895
460	764	893
461	765	891
462	766	888
463	767	886
464	768	884
465	770	882
466	771	880
467	774	880
468	776	878
469	779	878
470	780	876
471	781	874
472	782	872
473	783	869
474	785	867
475	786	865
476	787	863
477	788	861
478	789	858
479	790	856
480	791	854
481	795	854
482	796	852
483	798	851
484	800	849
485	801	847
486	802	845
487	804	843
488	808	845
489	817	850
490	820	850
491	821	848
492	822	846
493	824	844
494	825	842
495	826	840
496	827	837
497	829	836
498	831	834
499	832	832
500	833	830
501	835	828
502	836	826
503	838	825
504	839	823
505	841	821
506	842	819
507	844	817
508	845	815
509	847	814
510	849	812
511	850	810
512	851	808
513	852	806
514	854	804
515	855	802
516	857	801
517	858	798
518	859	796
519	861	795
520	863	793
521	864	791
522	866	789
523	867	788
524	868	786
525	870	784
526	871	781
527	873	780
528	874	778
529	876	777
530	878	775
531	879	773
532	880	771
533	881	769
534	882	767
535	883	765
536	885	763
537	886	761
538	887	759
539	889	757
540	890	755
541	892	754
542	894	752
543	895	750
544	897	748
545	898	747
546	899	745
547	901	743
548	902	741
549	903	739
550	905	737
551	906	735
552	907	733
553	909	731
554	910	730
555	912	728
556	914	726
557	915	725
558	916	723
559	917	721
560	919	719
561	920	717
562	922	715
563	923	713
564	924	712
565	926	710
566	927	708
567	929	707
568	930	705
569	932	703
570	933	701
571	936	700
572	937	698
573	939	697
574	941	695
575	942	693
576	943	691
577	944	689
578	946	688
579	947	685
580	949	684
581	950	682
582	951	680
583	952	678
584	953	676
585	954	674
586	956	672
587	957	670
588	958	668
589	959	666
590	960	664
591	961	662
592	962	660
593	964	659
594	965	656
595	966	654
596	967	652
597	968	651
598	969	649
599	970	647
600	971	645
601	972	643
602	974	641
603	975	639
604	976	637
605	977	635
606	978	633
607	979	631
608	980	629
609	981	627
610	982	625
611	983	623
612	984	621
613	985	619
614	987	617
615	988	615
616	989	614
617	990	612
618	991	610
619	992	608
620	994	606
621	995	604
622	996	602
623	997	600
624	998	599
625	999	596
626	1000	594
627	1001	593
628	1002	591
629	1003	589
630	1004	587
631	1006	585
632	1008	584
633	1009	582
634	1010	580
635	1011	578
636	1012	576
637	1013	575
638	1015	573
639	1016	571
640	1017	569
641	1018	567
642	1019	565
643	1020	564
644	1021	562
645	1022	560
646	1023	558
647	1024	556
648	1026	554
649	1027	553
650	1028	551
651	1029	549
652	1030	547
653	1031	545
654	1032	543
655	1033	542
656	1035	540
657	1036	538
658	1037	536
659	1038	535
660	1039	533
661	1040	531
662	1041	529
663	1043	527
664	1044	526
665	1045	524
666	1046	522
667	1047	520
668	1049	519
669	1050	517
670	1051	515
671	1052	513
672	1054	512
673	1055	510
674	1056	508
675	1057	506
676	1058	505
677	1059	503
678	1060	501
679	1061	499
680	1062	497
681	1064	496
682	1066	494
683	1067	493
684	1068	491
685	1070	489
686	1071	488
687	1072	486
688	1073	484
689	1075	483
690	1076	481
691	1077	479
692	1079	478
693	1081	476
694	1082	474
695	1083	473
696	1084	471
697	1085	469
698	1086	467
699	1087	466
700	1088	464
701	1089	462
702	1090	460
703	1092	459
704	1093	457
705	1094	455
706	1095	454
707	1097	452
708	1099	451
709	1100	449
710	1101	447
711	1102	446
712	1103	444
713	1104	442
714	1105	440
715	1107	439
716	1108	437
717	1109	435
718	1111	434
719	1112	432
720	1113	430
721	1114	429
722	1115	427
723	1116	425
724	1117	423
725	1119	422
726	1120	420
727	1121	418
728	1123	417
729	1124	415
730	1125	414
731	1126	412
732	1127	410
733	1128	408
734	1129	407
735	1130	405
736	1131	403
737	1132	402
738	1134	400
739	1135	398
740	1136	397
741	1137	395
742	1138	393
743	1139	392
744	1140	390
745	1141	388
746	1143	387
747	1144	385
748	1145	383
749	1146	382
750	1147	380
751	1148	378
752	1149	377
753	1150	375
754	1152	373
755	1153	372
756	1154	370
757	1155	369
758	1157	367
759	1158	365
760	1159	364
761	1160	362
762	1161	360
763	1162	359
764	1164	357
765	1165	355
766	1166	354
767	1168	352
768	1169	351
769	1170	349
770	1171	347
771	1172	346
772	1173	344
773	1175	343
774	1176	341
775	1177	339
776	1178	338
777	1180	336
778	1181	335
779	1182	333
780	1183	331
781	1184	330
782	1186	328
783	1187	327
784	1188	325
785	1189	323
786	1191	322
787	1192	320
788	1193	319
789	1194	317
790	1196	316
791	1197	314
792	1198	312
793	1199	311
794	1200	309
795	1201	307
796	1202	306
797	1203	304
798	1204	303
799	1205	301
800	1206	299
801	1207	298
802	1209	296
803	1210	295
804	1211	293
805	1212	291
806	1214	290
807	1215	288
808	1216	287
809	1217	285
810	1218	284
811	1220	282
812	1221	280
813	1222	279
814	1226	278
815	1227	276
816	1229	275
817	1229	273
818	1231	272
819	1232	270
820	1233	268
821	1234	267
822	1235	265
823	1237	264
824	1238	262
825	1240	261
826	1241	259
827	1242	258
828	1243	256
829	1244	254
830	1245	253
831	1246	251
832	1247	250
833	1248	248
834	1249	246
835	1250	245
836	1251	243
837	1252	242
838	1253	240
839	1254	239
840	1256	237
841	1257	235
842	1258	234
843	1259	232
844	1260	231
845	1261	229
846	1262	228
847	1263	226
848	1265	225
849	1266	223
850	1267	221
851	1268	220
852	1269	218
853	1270	217
854	1271	215
855	1273	214
856	1274	212
857	1275	211
858	1276	209
859	1277	207
860	1279	206
861	1280	204
862	1281	203
863	1282	201
864	1283	200
865	1284	198
866	1285	197
867	1286	195
868	1287	194
869	1288	192
870	1290	191
871	1291	189
872	1292	188
873	1294	186
874	1296	185
875	1297	183
876	1298	182
877	1299	180
878	1300	179
879	1301	177
880	1302	175
881	1303	174
882	1304	172
883	1305	171
884	1306	169
885	1310	168
886	1311	167
887	1312	165
888	1314	164
889	1315	162
890	1316	161
891	1317	159
892	1319	158
893	1320	156
894	1321	155
895	1323	153
896	1324	152
897	1325	150
898	1326	149
899	1327	147
900	1328	145
901	1329	144
902	1330	142
903	1331	141
904	1332	139
905	1333	138
906	1335	136
907	1336	135
908	1337	133
909	1338	132
910	1339	130
911	1340	129
912	1341	127
913	1342	126
914	1344	124
915	1345	123
916	1346	121
917	1348	120
918	1349	118
919	1350	117
920	1351	115
921	1352	114
922	1353	112
923	1354	111
924	1356	109
925	1357	108
926	1358	106
927	1359	105
928	1361	104
929	1362	102
930	1364	101
931	1365	99
932	1367	98
933	1368	96
934	1377	95
935	1378	94
936	1379	92
937	1381	91
938	1382	89
939	1383	88
940	1384	86
941	1385	85
942	1387	83
943	1388	82
944	1389	80
945	1390	79
946	1392	77
947	1393	76
948	1395	74
949	1396	73
950	1397	71
951	1398	70
952	1400	69
953	1401	67
954	1402	66
955	1403	64
956	1404	63
957	1406	61
958	1408	60
959	1409	58
960	1410	57
961	1411	55
962	1412	54
963	1413	52
964	1414	51
965	1415	49
966	1416	48
967	1418	46
968	1419	45
969	1421	43
970	1423	42
971	1424	41
972	1425	39
973	1427	38
974	1428	36
975	1430	35
976	1432	33
977	1434	32
978	1436	30
979	1437	29
980	1439	27
981	1440	26
982	1441	24
983	1443	23
984	1444	21
985	1445	20
986	1446	19
987	1447	17
988	1450	16
989	1452	14
990	1454	13
991	1455	11
992	1456	10
993	1458	8
994	1460	7
995	1461	5
996	1462	4
997	1466	2
998	1468	1
999	1469	0
